Rótulo,Dirección,Precio,date
ALCAMPO,"AVENIDA DEL VINO, SN, VALDEPEÑAS",1.917,20220609
ALCAMPO,"AVENIDA DEL VINO, SN, VALDEPEÑAS",1.917,20220610
ALCAMPO,"AVENIDA DEL VINO, SN, VALDEPEÑAS",1.917,20220611
ALCAMPO,"AVENIDA DEL VINO, SN, VALDEPEÑAS",1.987,20220614
ALCAMPO,"AVENIDA DEL VINO, SN, VALDEPEÑAS",2.017,20220615
ALCAMPO,"AVENIDA DEL VINO, SN, VALDEPEÑAS",2.017,20220616
ALCAMPO,"AVENIDA DEL VINO, SN, VALDEPEÑAS",2.017,20220617
CEPSA,"AUTOVIA A-4 KM. 193,6, VALDEPEÑAS",2.039,20220609
CEPSA,"AUTOVIA A-4 KM. 193,6, VALDEPEÑAS",2.039,20220610
CEPSA,"AUTOVIA A-4 KM. 193,6, VALDEPEÑAS",2.059,20220611
CEPSA,"AUTOVIA A-4 KM. 193,6, VALDEPEÑAS",2.089,20220614
CEPSA,"AUTOVIA A-4 KM. 193,6, VALDEPEÑAS",2.075,20220615
CEPSA,"AUTOVIA A-4 KM. 193,6, VALDEPEÑAS",2.109,20220616
CEPSA,"AUTOVIA A-4 KM. 193,6, VALDEPEÑAS",2.129,20220617
CEPSA,"CARRETERA 601 KM. 0,700, VALDEPEÑAS",2.039,20220609
CEPSA,"CARRETERA 601 KM. 0,700, VALDEPEÑAS",2.039,20220610
CEPSA,"CARRETERA 601 KM. 0,700, VALDEPEÑAS",2.069,20220611
CEPSA,"CARRETERA 601 KM. 0,700, VALDEPEÑAS",2.069,20220614
CEPSA,"CARRETERA 601 KM. 0,700, VALDEPEÑAS",2.069,20220615
CEPSA,"CARRETERA 601 KM. 0,700, VALDEPEÑAS",2.099,20220616
CEPSA,"CARRETERA 601 KM. 0,700, VALDEPEÑAS",2.099,20220617
E.E.S.S. MIRA,"AVENIDA GREGORIO PRIETO, 27, VALDEPEÑAS",2.029,20220609
E.E.S.S. MIRA,"AVENIDA GREGORIO PRIETO, 27, VALDEPEÑAS",2.029,20220610
